zip,sales_price,beds,baths,sqft,avg_school_rating,avg_school_distance,walk_score,LotSizeSquareFeet,ownership_years,house_age,Time_on_market
94587,730000,3,2,1452,5.666666667,0.666666667,49,7000,19,52,59
95207,295000,3,2,1657,6.666666667,0.633333333,58,12800,19,65,47
95682,371000,4,2,1633,9,2.533333333,22,NA,19,38,59
96088,255000,3,2.5,2420,6.666666667,8.433333333,0,NA,19,34,119
90744,5.00E+05,5,2,1948,3.666666667,0.666666667,56,5426,18,53,131
90803,3055000,4,3,3759,4.666666667,1.133333333,75,9960,18,87,424
92626,714000,4,3,2232,6,1.1,33,6960,18,45,328
91701,640000,4,2,2187,8.333333333,1.3,8,19602,19,39,46
91709,620000,4,3,2244,9,2.433333333,18,10500,19,28,99
91730,480000,4,1.75,1703,7.666666667,0.833333333,35,6731,19,30,58
91740,485000,3,2.25,1242,7.333333333,1.166666667,44,7032,19,55,54
91750,880000,4,3,2606,8.666666667,1.566666667,7,10035,19,19,88
91750,1278800,4,3,4146,8.666666667,1.533333333,7,12924,19,19,36
91766,360000,4,3,1564,4,0.466666667,51,8347,19,33,146
91780,825000,3,3,2081,9.333333333,1.133333333,41,6817,19,69,203
91784,636000,3,2.5,2584,8,1.433333333,10,10050,19,38,44
92024,1665000,7,5,4696,9.333333333,2.533333333,12,32670,19,17,85
92119,570000,4,2,1608,8.666666667,1.266666667,19,5500,19,44,64
92130,1210000,4,4,2834,10,1.566666667,21,5058,19,18,169
92211,315000,2,2,2032,5.666666667,1.466666667,27,7405,19,19,160
92284,158000,2,2,1352,6,1.233333333,2,19602,19,35,39
92284,63000,2,1,792,5.333333333,2.1,30,14375,19,65,110
92284,235000,3,2,1766,6,1.9,1,21900,19,26,76
92543,125000,3,1,964,3.666666667,1.6,79,7841,19,62,70
92551,255000,3,3,1381,3,1,23,5227,19,33,54
92562,439900,6,3,2745,7.666666667,0.7,54,7405,19,20,54
92592,390000,3,2,1697,8.666666667,0.8,17,7405,19,19,50
92656,345000,2,1,918,9.333333333,1.233333333,52,646,19,34,57
92692,1180000,5,3,3500,9.333333333,2.033333333,12,8378,19,19,115
92692,8.00E+05,2,2,1900,9.333333333,1.633333333,23,4750,19,19,37
92782,885000,4,3,2421,9.666666667,0.833333333,12,4000,19,23,73
92821,643000,3,2,2100,9,1.7,54,12445,19,59,45
92887,845000,4,3,2701,9.5,3.85,4,7500,19,26,63
93012,599000,4,2,1547,8.666666667,0.6,45,6067,19,31,161
93021,708000,3,3,2937,8.333333333,0.666666667,43,6783,19,29,54
93036,495000,3,2.5,1652,4,1.766666667,31,4008,19,23,57
93060,450000,3,2,1433,5,1.5,10,4790,19,27,48
93105,1195000,4,3,2071,7.333333333,1.5,81,8276,19,20,77
93304,176500,3,1.75,1355,5.333333333,1.133333333,40,6098,19,33,55
94112,640000,1,1,1248,5.666666667,1,80,1437,19,89,71
94587,731000,3,2,1268,7.666666667,1.633333333,12,6640,19,32,33
95037,715000,3,3,1742,7,3.7,51,3150,19,19,100
95121,545000,2,2,1050,7.333333333,1.533333333,30,436,19,28,40
